Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
ZHAO QING HSIEH DA COMPANY LIMITED,Footwear,Converse,,"59 INDUSTRIAL ZONE, LIANHUA TOWN, DINGHU DISTRICT",ZHAOQING,GUANGDONG,526072,China,Greater China,3559,3004,56,0,,,,,
"ZHEJIANG ALEPHAN GARMENTS  CO.,LTD LIUXIA BRANCH",Apparel,Converse,,"NUMBER 6 INDUSTRIAL ZONE, LIUXIA, XIHU DISTRICT",HANGZHOU,ZHEJIANG,310023,China,Greater China,162,100,57,0,,,,,
"ZHEJIANG CLIS FASHION CO., LTD.",Apparel,Converse,,"ZHEJIANG CLIS FASHION CO., LTD.",HANGZHOU,ZHEJIANG,310012,China,Greater China,106,70,74,0,,,,,
"ZHEJIANG HEJUN CLOTHING CO.,LTD",Apparel,Converse,,"NO.18,RONGMA ROAD, ZHUJI ECONOMIC DEVELOPMENT ZONE",ZHUJI,ZHEJIANG,311800,China,Greater China,380,352,60,0,,,,,
"ZHIJIE FOOTWEAR TECHNICAL SERVICE(ZHONGSHAN)CO.,LTD..",Footwear,Converse,,"JINGYE RD., HUOJU DEVELOPMENT ZONE",ZHONGSHAN,GUANGDONG,528437,China,Greater China,840,480,66,0,,,,,
"ZHONGSHAN SANXIANG LIANKAI  PRINTING  CO., LTD.",Equipment,Converse,,"NO. 1 GUANG WAN STREET, XIA JIA INDUSTRIAL ZONE, MAO WAN VILLAGE",ZHONGSHAN CITY,GUANGDONG,528463,China,Greater China,107,91,46,0,,,,,
CSA GUATEMALA S.A.,Apparel,Converse,,CALZADA SAN JUAN 39-69,,GUATEMALA,1007,Guatemala,Emerging Markets,750,750,60,0,,,,,
KORAL INTERNATIONAL,Apparel,Converse,,"DOOR NO 15, NETHAJI NAGAR 6TH STREET,",TIRUPUR,TAMIL NADU,641607,India,Emerging Markets,104,76,34,0,,,,,
LAKHANI FOOTWEAR PVT LTD,Footwear,Converse,,"PLOT NO. 130, SECTOR 24",FARIDABAD,HARYANA,121005,India,Emerging Markets,434,384,3,0,,,,,
M/S. CATALOGUE CLOTHING COMPANY (A DIVN OF GOKALDAS IMAGES PVT. LTD.),Apparel,Converse,,"# 7, MAKALI VILLAGE, DASANAPURA HOBLI",BANGALORE,KARNATAKA,562 123,India,Emerging Markets,980,560,68,0,,,,,
